"Timestamp","La aplicación funciona como espero.","La aplicación hace los cálculos correctos (sin errores).","Puedo usar la aplicación desde cualquiera de mis dispositivos.","La aplicación guarda mis datos. (Nunca ha perdido datos)","Puedo usar la aplicación para las asignaturas que curso.","La aplicación es fácil de aprender.","La aplicación es fácil de usar.","La aplicación responde rápidamente a mis acciones.","Sé cómo usar la aplicación en general.","Sé cómo crear una asignatura.","Entiendo toda la información de las tarjetas de las  asignaturas.","Disfruto usando la aplicación.","Recomendaría la aplicación.","Hay personas que usan la aplicación gracias a mí.","La aplicación me ayuda a lograr mis objetivos. (En relación con la gestión de tus notas)","La aplicación me ayuda a aprobar las asignaturas.","Abro la aplicación con frecuencia.","Abro la aplicación cuando recibo una nueva nota.","El logo, nombre y estilo de GradeCalc son fáciles de recordar.","Me gustan el logo, nombre y estilo de GradeCalc.","Si quieres, puedes dejar un comentario sobre cualquier otro aspecto de la app. (Errores, sugerencias...)"
"2020/06/18 5:33:35 PM GMT+2","5","5","4","3","5","5","5","5","5","5","5","4","5","4","5","4","5","5","5","5",""
"2020/06/18 6:11:51 PM GMT+2","5","5","5","4","5","5","5","5","5","5","5","5","5","5","5","1","5","5","5","5",""
"2020/06/18 6:22:24 PM GMT+2","5","5","5","4","5","5","5","4","5","5","5","5","5","1","3","1","4","5","5","3",""
"2020/06/18 6:43:19 PM GMT+2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Sinceramente, es genial"
"2020/06/18 6:48:18 PM GMT+2","5","5","4","2","5","5","5","4","5","5","5","5","5","5","5","1","4","5","4","5",""
"2020/06/18 6:49:01 PM GMT+2","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","5","5",""
"2020/06/18 6:49:51 PM GMT+2","4","5","5","4","5","5","5","5","5","5","5","4","5","5","3","3","5","4","2","3","A veces me resulta confuso el logo porque se parece al de spreadsheets de google. La aplicación es genial y funciona muy bien. Ojalá poder hacer proyectos así algún día."
"2020/06/18 7:05:57 PM GMT+2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Podrias hacer una app de android/ios"
"2020/06/18 7:09:02 PM GMT+2","4","4","1","3","4","4","4","4","4","1","4","4","4","4","4","4","4","4","4","4",""
"2020/06/18 7:31:17 PM GMT+2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"2020/06/18 7:36:56 PM GMT+2","5","5","4","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","Sois muy grandes, aplicación súper útil!!!!"
